cat_id,name,breed,sex,color,birth_date,weight_kg,height_cm,city,vaccinated,sterilized,owner_id,weight_kg_filled,birth_year,birth_month,birth_dayofweek,weight_g,is_large,sex_code,weight_category,height_m,breed_key
CAT044,Оскар,персидская,кошка,чёрный,2016-10-11,5.8,35.0,Москва,да,да,OWN050,5.8,2016.0,10.0,1.0,5800.0,False,F,средний,0.35,персидская
CAT045,Буся,рэгдолл,кот,голубой,2020-01-14,9.1,39.0,Новосибирск,да,нет,OWN055,9.1,2020.0,1.0,1.0,9100.0,True,M,крупный,0.39,рэгдолл
CAT046,Снежок,абиссинская,кошка,,2022-09-27,2.9,27.0,Москва,нет,да,OWN060,2.9,2022.0,9.0,1.0,2900.0,False,F,легкий,0.27,абиссинская
CAT047,Злата,русская голубая,кот,белый,2024-01-09,,29.0,Красноярск,нет,нет,OWN065,5.15,2024.0,1.0,1.0,,,M,нет данных,0.29,русская голубая
CAT048,Том,норвежская лесная,кошка,кремовый,2017-01-22,8.5,38.0,Красноярск,нет,да,OWN070,8.5,2017.0,1.0,6.0,8500.0,True,F,крупный,0.38,норвежская лесная
CAT049,Алиса,мейн-кун,кот,серебристый,2025-03-09,9.1,39.0,Екатеринбург,да,да,OWN075,9.1,2025.0,3.0,6.0,9100.0,True,M,крупный,0.39,мейн-кун
CAT050,Ириска,британская короткошёрстная,кошка,колор-пойнт,2024-03-26,6.3,34.0,Красноярск,да,нет,OWN080,6.3,2024.0,3.0,1.0,6300.0,True,F,крупный,0.34,британская короткошёрстная
CAT051,Ася,шотландская вислоухая,кот,колор-пойнт,2020-06-20,3.5,27.0,Казань,да,да,OWN002,3.5,2020.0,6.0,5.0,3500.0,False,M,легкий,0.27,шотландская вислоухая
CAT052,Снежок,сибирская,кошка,серебристый,2017-06-04,6.1,33.0,Москва,нет,нет,OWN007,6.1,2017.0,6.0,6.0,6100.0,True,F,крупный,0.33,сибирская
CAT053,Симба,сиамская,кот,колор-пойнт,2022-05-05,5.5,,Новосибирск,нет,да,OWN012,5.5,2022.0,5.0,3.0,5500.0,False,M,средний,,сиамская
CAT054,Лео,канадский сфинкс,кошка,колор-пойнт,2024-06-12,5.1,32.0,Москва,нет,да,OWN017,5.1,2024.0,6.0,2.0,5100.0,False,F,средний,0.32,канадский сфинкс
CAT055,Мия,бенгальская,кот,рыжий,2020-01-04,6.2,33.0,Томск,да,нет,OWN022,6.2,2020.0,1.0,5.0,6200.0,True,M,крупный,0.33,бенгальская
CAT056,Том,персидская,кошка,черепаховый,2021-03-15,3.6,29.0,Москва,да,да,OWN027,3.6,2021.0,3.0,0.0,3600.0,False,F,легкий,0.29,персидская
CAT057,Ириска,рэгдолл,кот,серебристый,2018-08-21,6.1,33.0,Красноярск,да,нет,OWN032,6.1,2018.0,8.0,1.0,6100.0,True,M,крупный,0.33,рэгдолл
CAT058,Ричи,абиссинская,кошка,серый,2020-05-25,3.0,25.0,Москва,нет,да,OWN037,3.0,2020.0,5.0,0.0,3000.0,False,F,легкий,0.25,абиссинская
CAT059,Лео,русская голубая,кот,голубой,2021-04-28,,33.0,Новосибирск,нет,да,OWN042,5.15,2021.0,4.0,2.0,,,M,нет данных,0.33,русская голубая
CAT060,Лиза,норвежская лесная,кошка,серебристый,2017-04-02,8.7,40.0,Новосибирск,нет,нет,OWN047,8.7,2017.0,4.0,6.0,8700.0,True,F,крупный,0.4,норвежская лесная
CAT061,Лиза,мейн-кун,кот,табби,2021-03-03,5.9,35.0,Томск,да,да,OWN052,5.9,2021.0,3.0,2.0,5900.0,False,M,средний,0.35,мейн-кун
CAT062,Феликс,британская короткошёрстная,кошка,белый,2016-07-08,6.2,34.0,Томск,да,нет,,6.2,2016.0,7.0,4.0,6200.0,True,F,крупный,0.34,британская короткошёрстная
CAT063,Ричи,шотландская вислоухая,кот,серый,2023-04-27,3.4,29.0,Омск,да,да,OWN062,3.4,2023.0,4.0,3.0,3400.0,False,M,легкий,0.29,шотландская вислоухая
CAT064,Злата,сибирская,кошка,рыжий,,6.0,34.0,Томск,нет,да,OWN067,6.0,,,,6000.0,True,F,крупный,0.34,сибирская
CAT065,Мурка,сиамская,кот,серый,2024-04-25,5.1,32.0,Красноярск,нет,нет,OWN072,5.1,2024.0,4.0,3.0,5100.0,False,M,средний,0.32,сиамская
CAT066,Снежок,канадский сфинкс,кошка,кремовый,2019-06-21,2.9,27.0,Новосибирск,нет,да,OWN077,2.9,2019.0,6.0,4.0,2900.0,False,F,легкий,0.27,канадский сфинкс
CAT067,Алиса,бенгальская,кот,,2018-04-22,4.8,31.0,Томск,да,нет,OWN082,4.8,2018.0,4.0,6.0,4800.0,False,M,средний,0.31,бенгальская
CAT068,Марта,персидская,кошка,рыжий,2019-01-27,,27.0,Новосибирск,да,да,OWN004,5.15,2019.0,1.0,6.0,,,F,нет данных,0.27,персидская
CAT069,Соня,рэгдолл,кот,белый,2021-04-15,4.9,31.0,Красноярск,да,да,OWN009,4.9,2021.0,4.0,3.0,4900.0,False,M,средний,0.31,рэгдолл
CAT070,Мурка,абиссинская,кошка,рыжий,2021-01-21,4.6,31.0,Казань,нет,нет,OWN014,4.6,2021.0,1.0,3.0,4600.0,False,F,средний,0.31,абиссинская
CAT071,Мурка,русская голубая,кот,белый,2019-08-18,6.3,35.0,Санкт-Петербург,нет,да,OWN019,6.3,2019.0,8.0,6.0,6300.0,True,M,крупный,0.35,русская голубая
CAT072,Феликс,норвежская лесная,кошка,чёрный,2023-11-18,4.0,29.0,Санкт-Петербург,нет,нет,OWN024,4.0,2023.0,11.0,5.0,4000.0,False,F,средний,0.29,норвежская лесная
CAT073,Мия,мейн-кун,кот,белый,2019-03-20,,34.0,Санкт-Петербург,да,да,OWN029,5.15,2019.0,3.0,2.0,,,M,нет данных,0.34,мейн-кун
CAT074,Соня,британская короткошёрстная,кошка,рыжий,2024-10-18,5.0,31.0,Москва,да,да,OWN034,5.0,2024.0,10.0,4.0,5000.0,False,F,средний,0.31,британская короткошёрстная
CAT075,Кнопа,шотландская вислоухая,кот,рыжий,2021-05-09,5.6,34.0,Санкт-Петербург,да,нет,OWN039,5.6,2021.0,5.0,6.0,5600.0,False,M,средний,0.34,шотландская вислоухая
CAT076,Марс,сибирская,кошка,черепаховый,2019-12-04,5.9,34.0,Омск,нет,да,OWN044,5.9,2019.0,12.0,2.0,5900.0,False,F,средний,0.34,сибирская
CAT077,Марс,сиамская,кот,кремовый,2021-04-13,5.7,32.0,Екатеринбург,нет,нет,OWN049,5.7,2021.0,4.0,1.0,5700.0,False,M,средний,0.32,сиамская
CAT078,Тиша,канадский сфинкс,кошка,табби,2017-03-20,5.2,33.0,Томск,нет,да,OWN054,5.2,2017.0,3.0,0.0,5200.0,False,F,средний,0.33,канадский сфинкс
CAT079,Ричи,бенгальская,кот,серый,2022-01-16,4.9,30.0,Екатеринбург,да,да,OWN059,4.9,2022.0,1.0,6.0,4900.0,False,M,средний,0.3,бенгальская
CAT080,Соня,персидская,кошка,рыжий,2020-10-10,5.7,33.0,Красноярск,да,нет,OWN064,5.7,2020.0,10.0,5.0,5700.0,False,F,средний,0.33,персидская
CAT081,Оскар,рэгдолл,кот,серый,2019-06-11,7.3,38.0,Екатеринбург,да,да,OWN069,7.3,2019.0,6.0,1.0,7300.0,True,M,крупный,0.38,рэгдолл
CAT082,Кира,абиссинская,кошка,серый,2019-05-02,4.5,29.0,Екатеринбург,нет,нет,OWN074,4.5,2019.0,5.0,3.0,4500.0,False,F,средний,0.29,абиссинская
CAT083,Кира,русская голубая,кот,,2016-12-18,6.1,36.0,Москва,нет,да,OWN079,6.1,2016.0,12.0,6.0,6100.0,True,M,крупный,0.36,русская голубая
CAT084,Кузя,норвежская лесная,кошка,колор-пойнт,2020-01-08,7.5,37.0,Екатеринбург,нет,да,OWN001,7.5,2020.0,1.0,2.0,7500.0,True,F,крупный,0.37,норвежская лесная
CAT085,Мурка,мейн-кун,кот,табби,2023-01-25,8.2,37.0,Санкт-Петербург,да,нет,OWN006,8.2,2023.0,1.0,2.0,8200.0,True,M,крупный,0.37,мейн-кун
CAT086,Том,британская короткошёрстная,кошка,голубой,2022-10-16,6.5,34.0,Омск,да,да,OWN011,6.5,2022.0,10.0,6.0,6500.0,True,F,крупный,0.34,британская короткошёрстная
CAT087,Соня,шотландская вислоухая,кот,рыжий,2023-02-03,5.3,32.0,Казань,да,нет,OWN016,5.3,2023.0,2.0,4.0,5300.0,False,M,средний,0.32,шотландская вислоухая
CAT088,Макс,сибирская,кошка,голубой,2023-12-13,5.5,31.0,Красноярск,нет,да,OWN021,5.5,2023.0,12.0,2.0,5500.0,False,F,средний,0.31,сибирская
CAT089,Ричи,сиамская,кот,серый,2017-11-02,3.9,28.0,Новосибирск,нет,да,OWN026,3.9,2017.0,11.0,3.0,3900.0,False,M,легкий,0.28,сиамская
CAT090,Барсик,канадский сфинкс,кошка,табби,2020-05-26,3.1,28.0,Санкт-Петербург,нет,нет,,3.1,2020.0,5.0,1.0,3100.0,False,F,легкий,0.28,канадский сфинкс
CAT091,Снежок,бенгальская,кот,колор-пойнт,2019-08-26,6.8,35.0,Омск,да,да,OWN036,6.8,2019.0,8.0,0.0,6800.0,True,M,крупный,0.35,бенгальская
CAT092,Злата,персидская,кошка,чёрный,2024-07-23,,31.0,Казань,да,нет,OWN041,5.15,2024.0,7.0,1.0,,,F,нет данных,0.31,персидская
CAT093,Соня,рэгдолл,кот,колор-пойнт,2020-01-03,6.6,33.0,Новосибирск,да,да,OWN046,6.6,2020.0,1.0,4.0,6600.0,True,M,крупный,0.33,рэгдолл
CAT094,Ричи,абиссинская,кошка,белый,2018-02-17,,31.0,Красноярск,нет,да,OWN051,5.15,2018.0,2.0,5.0,,,F,нет данных,0.31,абиссинская
CAT095,Ириска,русская голубая,кот,голубой,2021-12-06,3.8,28.0,Казань,нет,нет,OWN056,3.8,2021.0,12.0,0.0,3800.0,False,M,легкий,0.28,русская голубая
CAT096,Марс,норвежская лесная,кошка,колор-пойнт,2021-07-22,8.2,,Москва,нет,да,OWN061,8.2,2021.0,7.0,3.0,8200.0,True,F,крупный,,норвежская лесная
CAT097,Ника,мейн-кун,кот,черепаховый,2019-11-25,6.3,32.0,Екатеринбург,да,нет,OWN066,6.3,2019.0,11.0,0.0,6300.0,True,M,крупный,0.32,мейн-кун
CAT098,Барсик,британская короткошёрстная,кошка,колор-пойнт,2018-12-26,5.2,31.0,Омск,да,да,OWN071,5.2,2018.0,12.0,2.0,5200.0,False,F,средний,0.31,британская короткошёрстная
CAT099,Ася,шотландская вислоухая,кот,,2022-10-15,3.4,27.0,Екатеринбург,да,да,OWN076,3.4,2022.0,10.0,5.0,3400.0,False,M,легкий,0.27,шотландская вислоухая
CAT100,Соня,сибирская,кошка,колор-пойнт,2020-03-25,6.9,34.0,Казань,нет,нет,OWN081,6.9,2020.0,3.0,2.0,6900.0,True,F,крупный,0.34,сибирская
CAT101,Оскар,сиамская,кот,серебристый,2019-05-17,3.8,29.0,Казань,нет,да,OWN003,3.8,2019.0,5.0,4.0,3800.0,False,M,легкий,0.29,сиамская
CAT102,Луна,канадский сфинкс,кошка,голубой,,4.8,32.0,Казань,нет,нет,OWN008,4.8,,,,4800.0,False,F,средний,0.32,канадский сфинкс
CAT103,Кира,бенгальская,кот,серебристый,2020-12-17,4.8,32.0,Омск,да,да,OWN013,4.8,2020.0,12.0,3.0,4800.0,False,M,средний,0.32,бенгальская
CAT104,Буся,персидская,кошка,серебристый,2016-07-15,4.3,29.0,Красноярск,да,да,OWN018,4.3,2016.0,7.0,4.0,4300.0,False,F,средний,0.29,персидская
CAT105,Том,рэгдолл,кот,серебристый,2020-12-07,4.9,31.0,Томск,да,нет,OWN023,4.9,2020.0,12.0,0.0,4900.0,False,M,средний,0.31,рэгдолл
CAT106,Мия,абиссинская,кошка,голубой,2021-06-27,4.2,30.0,Новосибирск,нет,да,OWN028,4.2,2021.0,6.0,6.0,4200.0,False,F,средний,0.3,абиссинская
CAT107,Лео,русская голубая,кот,чёрный,2022-05-31,5.0,30.0,Санкт-Петербург,нет,нет,OWN033,5.0,2022.0,5.0,1.0,5000.0,False,M,средний,0.3,русская голубая
CAT108,Марс,норвежская лесная,кошка,рыжий,2022-01-12,5.9,35.0,Томск,нет,да,OWN038,5.9,2022.0,1.0,2.0,5900.0,False,F,средний,0.35,норвежская лесная
CAT109,Мия,мейн-кун,кот,кремовый,2022-10-24,9.2,42.0,Томск,да,да,OWN043,9.2,2022.0,10.0,0.0,9200.0,True,M,крупный,0.42,мейн-кун
CAT110,Ника,британская короткошёрстная,кошка,серебристый,2023-10-23,,33.0,Москва,да,нет,OWN048,5.15,2023.0,10.0,0.0,,,F,нет данных,0.33,британская короткошёрстная
CAT111,Тиша,шотландская вислоухая,кот,кремовый,2020-07-28,5.4,32.0,Омск,да,да,OWN053,5.4,2020.0,7.0,1.0,5400.0,False,M,средний,0.32,шотландская вислоухая
CAT112,Тиша,сибирская,кошка,черепаховый,2024-04-29,4.5,30.0,Томск,нет,нет,OWN058,4.5,2024.0,4.0,0.0,4500.0,False,F,средний,0.3,сибирская
CAT113,Луна,сиамская,кот,серый,2020-09-11,4.3,30.0,Томск,нет,да,,4.3,2020.0,9.0,4.0,4300.0,False,M,средний,0.3,сиамская
CAT114,Симба,канадский сфинкс,кошка,колор-пойнт,2022-07-07,4.7,29.0,Казань,нет,да,OWN068,4.7,2022.0,7.0,3.0,4700.0,False,F,средний,0.29,канадский сфинкс
CAT115,Симба,бенгальская,кот,чёрный,2020-01-30,,30.0,Екатеринбург,да,нет,OWN073,5.15,2020.0,1.0,3.0,,,M,нет данных,0.3,бенгальская
CAT116,Лео,персидская,кошка,белый,2021-05-09,5.5,32.0,Новосибирск,да,да,OWN078,5.5,2021.0,5.0,6.0,5500.0,False,F,средний,0.32,персидская
CAT117,Лео,рэгдолл,кот,,2023-07-22,6.1,35.0,Москва,да,нет,OWN083,6.1,2023.0,7.0,5.0,6100.0,True,M,крупный,0.35,рэгдолл
CAT118,Марс,абиссинская,кошка,серый,2024-04-06,4.5,28.0,Томск,нет,да,OWN005,4.5,2024.0,4.0,5.0,4500.0,False,F,средний,0.28,абиссинская
CAT119,Тиша,русская голубая,кот,черепаховый,2024-12-26,4.5,30.0,Томск,нет,да,OWN010,4.5,2024.0,12.0,3.0,4500.0,False,M,средний,0.3,русская голубая
CAT120,Том,норвежская лесная,кошка,голубой,2021-03-12,6.9,37.0,Москва,нет,нет,OWN015,6.9,2021.0,3.0,4.0,6900.0,True,F,крупный,0.37,норвежская лесная
